,ti,ni,cu,fe,pd,co,mn,cr,nb,zr,hf,hp,
145,35,50,0,0,0,0,0,0,0,15,0,107.8,pang
146,44.7,50.3,0,0,0,0,0,0,0,5,0,40.6,pang
147,45.5,49.5,0,0,0,0,0,0,0,5,0,114.11,96
148,40.5,49.5,0,0,0,0,0,0,0,10,0,142.35,96
149,35.5,49.5,0,0,0,0,0,0,0,15,0,208.24,96
150,30.5,49.5,0,0,0,0,0,0,0,20,0,294.12,96
151,32.5,50,0,0,0,0,0,0,0,0,17.5,177.7,licheng
152,34.7,50.3,0,0,0,0,0,0,0,0,15,77.34,13
153,29.7,50.3,0,0,0,0,0,0,0,0,20,141.12,15
154,49.2,40.8,10,0,0,0,0,0,0,0,0,-3.6,19
155,29.7,50.3,0,0,0,0,0,0,0,20,0,72.21,15
156,50.5,48.5,0,0,0,1,0,0,0,0,0,84.7,283
157,50.5,47.5,0,0,0,2,0,0,0,0,0,62.4,283
158,49.2,49.8,0,0,0,1,0,0,0,0,0,-29.5,283
159,49.2,48.8,0,0,0,2,0,0,0,0,0,-40,283
160,50.5,45.5,0,0,0,4,0,0,0,0,0,37.8,283
161,49.2,44.8,6,0,0,0,0,0,0,0,0,-21.8,283
162,48.4,51.1,0,0,0,0,0,0.5,0,0,0,-10.91,99
163,50.24,49.31,0,0,0,0,0,0.45,0,0,0,42.39,100
164,50.34,48.17,0,0,0,0,0,1.49,0,0,0,-15.05,100
165,49.7,48.02,0,0,0,0,0,2.28,0,0,0,-59.09,100
166,51.8,45,0,3.2,0,0,0,0,0,0,0,-10.04,101
167,50,48,0,2,0,0,0,0,0,0,0,7.44,102
168,49.5,48.5,0,2,0,0,0,0,0,0,0,-41.93,102
169,51,49,0,0,0,0,0,0,0,0,0,113,103
170,50.5,49.5,0,0,0,0,0,0,0,0,0,105.86,104
171,50.5,24.5,0,0,25,0,0,0,0,0,0,186.15,105
172,50.3,24.7,0,0,25,0,0,0,0,0,0,196.09,106
173,49.7,25.3,0,0,25,0,0,0,0,0,0,126.13,106
174,50.3,33.7,0,0,16,0,0,0,0,0,0,106.05,107
175,30.875,47.5,0,0,0,0,0,0,5,0,16.625,255.6,licheng
176,29.9,46,0,0,0,0,0,0,8,0,16.1,243.2,licheng
177,29.25,45,0,0,0,0,0,0,10,0,15.75,254.4,licheng
178,27.625,42.5,0,0,0,0,0,0,15,0,14.875,205.1,licheng
179,26,40,0,0,0,0,0,0,20,0,14,210.4,licheng
180,24.375,37.5,0,0,0,0,0,0,25,0,13.125,197.5,licheng
181,49,43.35,0,0.675,2.475,0,0,0,4.5,0,0,-5.38,TY
182,49,44.88,0,0.54,1.98,0,0,0,3.6,0,0,13.25,TY
183,45.24,49,0,0,0,0,0,0,0,0,5.76,133.99145,TY
184,50,49,0,0.4,0.6,0,0,0,0,0,0,76.52066,TY
185,48.5,50.985,0,0,0.17,0,0,0.075,0.27,0,0,-65.75,TY
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
87,"Fan, Q. C., Y. Zhang, Y. H. Zhang, Y. Y. Wang, E. H. Yan, S. K. Huang and Y. H. Wen (2019). ""Influence of Ni/Ti ratio and Nb addition on martensite transformation behavior of NiTiNb alloys."" Journal of Alloys and Compounds 790: 1167-1176.
",,,,,,,,,,,,
96,"Hsieh, S. F. and S. K. Wu (1998). ""A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys."" Materials Characterization 41(4): 151-162.
",,,,,,,,,,,,
13,"Evirgen, A., I. Karaman, R. Santamarta, J. Pons and R. D. Noebe (2015). ""Microstructural characterization and shape memory characteristics of the Ni50.3Ti34.7Hf15 shape memory alloy."" Acta Materialia 83: 48-60.
",,,,,,,,,,,,
15,"Evirgen, A., I. Karaman, R. Santamarta, J. Pons, C. Hayrettin and R. D. Noebe (2016). ""Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys."" Acta Materialia 121: 374-383.
",,,,,,,,,,,,
19,"Dang, P., F. Ye, Y. Zhou, L. Ding, J. Pang, L. Zhang, X. Ding, J. Sun, S. Dai, T. Lookman and D. Xue (2022). ""Low-fatigue and large room-temperature elastocaloric effect in a bulk Ti49.2Ni40.8Cu10 alloy."" Acta Materialia 229.
",,,,,,,,,,,,
283,"Dang, P., L. Zhang, Y. Zhou, C. Li, X. Ding, J. Sun and D. Xue (2023). ""Nanostructured Ti¨CNi¨CCo Alloys Showing Shape-Memory Actuation of Large Work Output at Low Temperature."" Advanced Engineering Materials n/a(n/a): 2301438.
",,,,,,,,,,,,
99,"Tong, Y.-x., J.-t. Liu, F. Chen, C.-q. Liang, B. Tian, L. Li and Y.-f. Zheng (2014). ""Effect of aging on martensitic transformation and superelasticity of TiNiCr shape memory alloy."" Transactions of Nonferrous Metals Society of China 24(8): 2598-2605.
",,,,,,,,,,,,
100,"Chen, Z., C. Gan, J. Qian and D. Nong (2021). ""Effect of Cr Content on Phase Transition Characteristics and Microhardness of Near Equiatomic NiTi SMA."" Chinese Journal of Rare Metals 45(9): 1034-1043.
",,,,,,,,,,,,
101,"Zhang, Y.-q., S.-y. Jiang, X.-m. Zhu, Y.-n. Zhao, Y.-l. Liang and D. Sun (2017). ""Influence of Fe addition on phase transformation behavior of NiTi shape memory alloy."" Transactions of Nonferrous Metals Society of China 27(7): 1580-1587.
",,,,,,,,,,,,
102,"Tu, C.-H., S.-K. Wu, C. Lin and B.-Y. Huang (2021). ""A study on two R-phase transformations in intermediate temperature aged Ni-rich TiNiFe-based shape memory alloys."" Intermetallics 132: 107123.
",,,,,,,,,,,,
103,"Lin, H. C., S. K. Wu and J. C. Lin (1994). ""THE MARTENSITIC-TRANSFORMATION IN TI-RICH TINI SHAPE-MEMORY ALLOYS."" MATERIALS CHEMISTRY AND PHYSICS 37(2): 184-190.
",,,,,,,,,,,,
104,"Kim, Y.-w. and D. Do (2016). ""Shape memory characteristics of highly porous Ti-rich TiNi alloys."" Materials Letters 162: 1-4.
",,,,,,,,,,,,
105,"Atli, K. C., I. Karaman and R. D. Noebe (2014). ""Influence of tantalum additions on the microstructure and shape memory response of Ti50.5Ni24.5Pd25 high-temperature shape memory alloy."" Materials Science and Engineering: A 613: 250-258.
",,,,,,,,,,,,
106,"Ramaiah, K. V., C. N. Saikrishna, Gouthama and S. K. Bhaumik (2013). ""Microstructure and transformation behaviour of Ni75?XTiXPd25 high temperature shape memory alloys."" Journal of Alloys and Compounds 554: 319-326.
",,,,,,,,,,,,
107,"Kockar, B., K. C. Atli, J. Ma, M. Haouaoui, I. Karaman, M. Nagasako and R. Kainuma (2010). ""Role of severe plastic deformation on the cyclic reversibility of a Ti50.3Ni33.7Pd16 high temperature shape memory alloy."" Acta Materialia 58(19): 6411-6420.
",,,,,,,,,,,,
